state,action,Q,N,best_action
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(0, 1, 0)",-0.09999999999999964,1,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(5, 1, 0)",-0.09999999999999964,1,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(2, 4, 6)",-0.09999999999999964,1,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(-2, 1, 1)",-0.5217031000000075,4,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(1, 5, 2)",-0.2710000000000039,2,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(6, 1, 4)",-0.4685590000000068,3,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(-2, 0, 5)",-0.34389999999999876,4,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(-4, 3, 5)",-0.09999999999999964,1,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(1, 2, 4)",-0.18999999999999934,2,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(-5, 2, 6)",-0.09999999999999964,1,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(4, 3, 5)",-0.09999999999999964,1,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(0, 3, 2)",-0.09999999999999964,1,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(3, 0, 1)",-0.19000000000000272,2,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(2, 2, 5)",-0.09999999999999964,1,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(0, 3, 3)",-0.4685590000000068,2,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(-4, 0, 1)",-0.9113706188034233,30,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(-4, 3, 1)",-0.09999999999999964,1,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(3, 3, 0)",-0.19000000000000272,4,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(-2, 2, 1)",-0.9962428978738781,4,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(0, 4, 4)",-0.9721871610555755,6,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(-1, 4, 2)",-0.19000000000000272,3,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(5, 5, 1)",-0.09999999999999964,1,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(-3, 4, 0)",-0.9999872957651956,41,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(-1, 1, 1)",-0.18999999999999934,2,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(5, 6, 1)",-0.18999999999999934,2,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(-3, 0, 3)",-0.46855899999999834,6,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(1, 5, 5)",-0.09999999999999964,1,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(-4, 4, 1)",-0.4095100000000059,5,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(4, 6, 4)",-0.10000000000000142,1,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(0, 5, 2)",-0.6513215599000094,3,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(3, 2, 3)",-0.19000000000000272,2,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(-3, 3, 6)",-0.10000000000000142,1,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(-2, 5, 0)",-0.2710000000000039,3,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(2, 1, 5)",-0.2710000000000039,3,"(-5, 2, 1)"
"((-1.0, 0.0), (-1.0, -0.2), (-1.0, 0.0))","(-5, 5, 5)",-0.10000000000000142,1,"(-5, 2, 1)"
